Disease,Symptoms
Heart Failure,"Swollen legs, increasing swollen ankles, increasing shortness of breath, fatigue, rapid heartbeat, difficulty breathing when lying down, ascites."
Pneumonia,Sweating connected with chest pain (markedly moderate) in combination with confusion related to shortness of breath (generally intense).
Lung Cancer,Persistent cough and weight loss accompanied by neurological symptoms and weakness connected with chest pain and deep vein thrombosis in conjunction with unexplained fever and facial swelling.
COPD,"Severe persistent cough, wheezing, pursed-lip breathing with mild prolonged expiration, worse in the morning."
Tuberculosis,"Coughing up blood, night sweats, fever, mild loss of appetite, unintended weight loss, worse when lying down."
Tuberculosis,"Persistent cough, low-grade night sweats, weight loss, low-grade coughing up blood, blood in mucus, unintended weight loss, hemoptysis, severe pleural effusion, worse in the morning."
Tuberculosis,"Feverish at night, coughing up blood and joint pain correlated with hemoptysis, night sweats and bone pain in conjunction with persistent cough, weakness and chills, continuous, heightened by position changes."
Pneumonia,"Rapid heart rate, green phlegm and wheezing associated with productive cough, cough and chest pain (strikingly severe) coinciding with shortness of breath, difficulty breathing and chills (characteristically acute) coinciding with fever (strikingly acute), constant."
Pneumonia,"Severe green phlegm with mild shortness of breath, difficulty breathing, productive cough, decreased breath sounds, shallow breathing, wheezing, worse at night."
Pneumonia,"Severe fever, chest pain, weakness, productive cough, wheezing with mild difficulty breathing, cyanosis, fatigue, hindering exercise tolerance."
Tuberculosis,Malaise and night sweats related to fever and weight loss (significantly progressive) along with persistent cough and coughing up blood coinciding with chest pain (markedly extreme).
Pneumothorax,"Tension racing heart rate, tension shortness of breath, chest pressure, decreased tactile fremitus, hyperresonance, tension absent breath sounds, asymmetrical chest movement."
COPD,"Acute exacerbation chest tightness, acute exacerbation difficulty breathing, at rest persistent cough, during activity wheezing, shortness of breath, pursed-lip breathing, during activity recurring pneumonia, triggered by irritants, compromising respiratory function, worsening over years."
Pneumothorax,"Severe rapid breathing, racing heart rate, acute hypoxemia, chest pressure, severe hyperresonance, intermittent."
Pleural Effusion,"Acute, clearly substantial chest pain, clearly moderate fever, difficulty breathing when lying down, minimal shortness of breath, evidently minimal respiratory distress, mainly moderate rapid heart rate, substantial positional dyspnea."
Lung Cancer,"Unresolved, significant coughing up blood, frequently severe chest pain, significant persistent cough, particularly severe clubbing of fingertips, triggered by irritants, reducing stamina."
Pneumonia,"Fatigue and loss of appetite connected with fever and blue lips connected with decreased breath sounds and sweating associated with chest pain and green phlegm, worse in the morning, worsened by lying flat."
Pleural Effusion,"Initially presenting with respiratory distress, dry cough, difficulty breathing when lying down, Ultimately developing reduced tactile fremitus, dullness on percussion, fever, affecting quality of life."
Pleural Effusion,"Severe difficulty breathing when lying down with mild dry cough, reduced tactile fremitus."
Pneumonia,"Moderate shortness of breath, cough, high fever, sweating, malaise, wheezing, moderate chills, green phlegm, moderate fatigue, intensified after activity."
COVID-19 Pneumonia,"Initially presenting with fatigue, fever, shortness of breath, Eventually developing chest pain, dry cough, loss of taste, affecting quality of life."
Pneumonia,"Severe difficulty breathing, loss of appetite, coughing up mucus with mild chest pain, relapsing, impacting work performance."
Lung Cancer,"Headache, neck swelling and shortness of breath (clearly debilitating) correlated with weight loss, deep vein thrombosis and chest pain (commonly life-limiting) in combination with neurological symptoms, persistent cough and coughing up blood (commonly severe) in combination with hoarseness, exacerbated by cold air."
Pneumonia,"Initially presenting with headache, chest pain, confusion, Subsequently developing decreased oxygen levels, shortness of breath, chills."
Pneumothorax,Sudden sharp chest pain and reduced chest movement on affected side connected with racing heart rate and fatigue related to decreased tactile fremitus and rapid breathing (particularly life-threatening) associated with hypotension and increased respiratory rate.
COPD,"Chronic chest tightness, moderate persistent cough, shortness of breath, at rest difficulty completing sentences, unexplained weight loss, lifelong."
COVID-19 Pneumonia,"Initially presenting with nasal congestion, loss of smell, shortness of breath, Finally developing chest pressure, myalgia, loss of taste, limiting mobility."
Lung Cancer,"Insidious onset, clearly progressive coughing up blood, unexplained chest pain, clearly unexplained shortness of breath, neurological symptoms, especially life-limiting unexplained fever, life-limiting horner's syndrome."
COVID-19 Pneumonia,"Severe fatigue, loss of smell, dry cough, multi-organ dysfunction with mild fever, loss of taste, cytokine storm, cyclical, disrupting sleep."
Pneumothorax,"Shortness of breath, correlated with racing heart rate, significant sudden sharp chest pain, acute rapid breathing, significant chest tightness, increased respiratory rate, absent breath sounds, pain in shoulder, remitting, compromising respiratory function."
Heart Failure,"Severe fatigue, swollen legs, loss of appetite with mild rapid heartbeat, need to sleep upright, pulmonary edema."
COVID-19 Pneumonia,"Loss of taste, asymptomatic shortness of breath, high fatigue, fever, high loss of smell, asymptomatic sore throat, exacerbated by cold air, restricting physical activity."
Tuberculosis,"Severe fever, night sweats, persistent persistent cough, weight loss, chronic coughing up blood, fatigue, persistent malaise, pain with breathing, worse after meals, chronic."
Pleural Effusion,"Minimal fever, persistent shortness of breath, decreased breath sounds, moderate inability to lie flat, minimal rapid heart rate, malaise, minimal tracheal deviation."
